State,District/City,Information type,Name,Occupation,Email ID 1,Email ID 2,Phone1,Phone2,Extension,Source Link,Source,Details,Added by,Added on,Key,Sub District,Sub-Info type,Organisation
Andaman and Nicobar,Port Blair,Laboratory,"Regional Medical Research Centre, Port Blair",Dr. P. Vijyachari,vijayacharip@yahoo.com,,9932083226,,,https://icmr.nic.in/sites/default/files/upload_documents/Govt_Lab_COVID_19_Testing_V2.pdf,ICMR,,sardamit@gmail.com,2020-03-26T02:51:25.801Z,Andaman and Nicobar-Laboratory - Government,,Government Laboratory,
Andaman and Nicobar,Union Territory,Helpline,,,,,(+91)3192232102,,,https://www.mohfw.gov.in/pdf/coronvavirushelplinenumber.pdf,Ministry of Health - India,Helpline Numbers of States & Union Territories (UTs) by Ministry of Health (India),,,Andaman and Nicobar-Helpline,,State Helpline,Andaman and Nicobar State Helpline
Andhra Pradesh,Anantapur,Helpline,Anantapur Helpline,,,,8554277434,,,http://cfw.ap.nic.in/pdf/District%20COVID-19%20Call%20Centers.pdf,State Department of Health - Andhra Pradesh,District COVID-19 Call Centers (24X7) for Andhra Pradesh Districts,Simran Soni,02-04-2020,Andhra Pradesh-Helpline,,,
Andhra Pradesh,Anantapur,Laboratory,"Government Medical College, Anantapur, AP",Dr. Swarnalatha,vrdlgmcatp@gmail.com,,9849499761,,,https://icmr.nic.in/sites/default/files/whats_new/National_Labs_identified_COVID19_7days.PDF,ICMR,,,,Andhra Pradesh-Laboratory - Government,,Government Laboratory,
Andhra Pradesh,Chittoor,Helpline,Chittoor Helpline,,,,9849902379,,,http://cfw.ap.nic.in/pdf/District%20COVID-19%20Call%20Centers.pdf,State Department of Health - Andhra Pradesh,District COVID-19 Call Centers (24X7) for Andhra Pradesh Districts,Simran Soni,02-04-2020,Andhra Pradesh-Helpline,,,
Andhra Pradesh,East Godavari,Helpline,East Godavari Helpline,,,,8841361763,,,http://cfw.ap.nic.in/pdf/District%20COVID-19%20Call%20Centers.pdf,State Department of Health - Andhra Pradesh,District COVID-19 Call Centers (24X7) for Andhra Pradesh Districts,Simran Soni,02-04-2020,Andhra Pradesh-Helpline,,,
Andhra Pradesh,Guntur,Helpline,Guntur Helpline,,,,8632271492,,,http://cfw.ap.nic.in/pdf/District%20COVID-19%20Call%20Centers.pdf,State Department of Health - Andhra Pradesh,District COVID-19 Call Centers (24X7) for Andhra Pradesh Districts,Simran Soni,02-04-2020,Andhra Pradesh-Helpline,,,
Andhra Pradesh,Guntur,Laboratory,"Guntur Medical College, Guntur",Dr. Prasanthi Kohli,vrdlgunturmedicalcollege@gmail.com,,9848173034,,,https://icmr.nic.in/sites/default/files/upload_documents/List_of_VRDL_V2.pdf,ICMR,,,,Andhra Pradesh-Laboratory - Government,,Government Laboratory,
Andhra Pradesh,Kadapa,Laboratory,Rajeev Gandhi Institute of Medical Sciences,Dr.SasidharMajeti,sasidharmajeti@hotmail.com,microrimskadpa@gmail.com,9247899544,,,https://icmr.nic.in/sites/default/files/upload_documents/List_of_VRDL_V2.pdf,ICMR,,,,Andhra Pradesh-Laboratory - Government,,Government Laboratory,
Andhra Pradesh,Kakinada,Laboratory,Rangaraya Medical College,Dr. D.S Murthy,murtyds@gmail.com,,9440341099,,,https://icmr.nic.in/sites/default/files/upload_documents/Govt_Lab_COVID_19_Testing_V2.pdf,ICMR,,,,Andhra Pradesh-Laboratory - Government,,Government Laboratory,
